2021-12-17 20:00:01,256330,5335600
2021-12-18 00:00:01,254165,5212473
2021-12-18 04:00:01,255602,5344614
2021-12-18 08:00:01,256548,5293100
2021-12-18 12:00:01,257147,5196913
2021-12-18 16:00:01,258528,5271537
2021-12-18 20:00:01,258554,5378917
2021-12-19 00:00:01,260317,5346425
2021-12-19 04:00:01,260168,5313913
2021-12-19 08:00:01,0,5322900
2021-12-19 12:00:01,0,5364769
2021-12-19 16:00:01,259845,5402399
2021-12-19 20:00:01,259913,5363179
2021-12-20 00:00:01,261785,5392847
2021-12-20 04:00:01,261804,5360847
2021-12-20 08:00:01,262019,5380000
2021-12-20 12:00:01,266124,5309399
2021-12-20 16:00:01,265379,5282614
2021-12-20 20:00:01,263170,5214593
2021-12-21 00:00:01,263898,5255020
2021-12-21 04:00:01,264952,5255016
2021-12-21 08:00:01,266182,5316064
2021-12-21 12:00:01,265698,5337038
2021-12-21 16:00:01,264140,5522200
2021-12-21 20:00:01,263592,5535314
2021-12-22 00:00:01,264508,5537508
2021-12-22 04:00:01,265622,5530878
2021-12-22 08:00:01,266818,5627572
2021-12-22 12:00:01,267582,5630489
2021-12-22 16:05:02,268760,5594108
2021-12-22 20:00:01,269219,5611344
2021-12-23 00:00:01,268544,5576916
2021-12-23 04:00:01,269420,5551461
2021-12-23 08:00:01,269420,5590907
2021-12-23 12:00:01,271405,5522942
2021-12-23 16:00:01,272240,5539048
2021-12-23 20:00:01,271578,5534981
2021-12-24 00:00:01,272546,5560632
2021-12-24 04:00:01,270063,5789906
2021-12-24 08:00:01,270063,5812469
2021-12-24 12:00:01,270455,5842622
2021-12-24 16:00:01,269801,5825848
2021-12-24 20:00:01,270489,5857489
2021-12-25 00:00:01,268583,5810811
2021-12-25 04:00:01,269637,5903660
2021-12-25 08:00:01,269637,5812324
2021-12-25 12:00:01,269637,5815792
2021-12-25 16:00:01,269637,5831321
2021-12-25 20:00:01,269637,5799823
2021-12-26 00:00:01,269637,5809857
2021-12-26 04:00:01,270517,5833461
2021-12-26 08:00:01,270517,5793500
2021-12-26 12:00:01,270310,5725122
2021-12-26 16:00:01,270173,5712601
2021-12-26 20:00:01,271017,5734923
2021-12-27 00:00:01,269929,5713664
2021-12-27 04:00:01,270521,5760926
2021-12-27 08:00:01,269281,5833270
2021-12-27 12:00:01,270350,5815451
2021-12-27 16:00:01,270462,5831634
2021-12-27 20:00:01,269458,5827677
2021-12-28 00:00:01,269375,5912113
2021-12-28 04:00:01,269530,5941940
2021-12-28 08:00:01,269530,5863620
2021-12-28 12:00:01,266732,5718810
2021-12-28 16:00:01,266445,5655626
2021-12-28 20:00:01,266714,5633240
2021-12-29 00:00:01,267218,5638504
2021-12-29 04:00:01,263641,5488560
2021-12-29 08:00:01,263539,5471645
2021-12-29 12:00:01,263651,5510000
2021-12-29 16:05:02,263589,5509172
